,comments
1179,"NATURAL PRODUCTED RELEASE,ASSOC WITH 093655 M023;4 RELEASES SIZE 250-20F/LB"
1180,"NATURAL XNAT CROSSES;ASSOC CO18,090471;NAT. CONSERVATION GRP;50FISH RELEASE 5/17"
1181,"NET PEN FALLS.  UPDATED COUNT FROM 487,479 TO SUBTRACT MORTALITY OF 3,198."
1182,"NO FINAL QC, USED INITIAL"
1183,"No FLR, 47-96 Fish/lb, Seined Natural Fish, GTG"
1184,"No FLR, 61-92 Fish/lb, Seined Natural Fish, GTG"
1185,No FLR.
1186,No FLR. Fish released below Hells Canyon Dam.
1187,"NO RETENTION DATA TAKEN;2ND RELEASE 38,598 RELEASED AT THREE RIVERS;   ENGELKING"
1190,No Vaccine c-3
1191,Non captive brood progeny- river return fish
1192,non feed study
1202,NOTICIABLE BKD IN RELEASED FISH.  17 OF 500 FISH (3.4%)SHOWED SIGNS OF PERCOCITY
1203,off station release rm 24.8
1204,"ONLY AD MARKED FISH HAVE CWT PER DEBORAHMILKS WDFW SNAKE R LAB DAYTON,WA    MARK"
1205,"ORIGIN CLACKAMAS/LEABURG HAT; ASSOC 092053, was Rltd Grp ID C016"
1206,"ORIGIN CLACKAMAS/LEABURG HAT; FLR 155771; ASSOC 090589, was Rltd Grp C016"
1207,Origin HATCHERY MCKENZIE; FLR 155766                                        HME
1208,origin is Gnat Cr; high predation + possible furunculosis;FLR 155732
1209,ORIGIN KLASKANINE AND SF KLASKANINE;FLR  155728; 3.6% NO MARK
1210,ORIGIN SF KLASKANINE;FLR  155727;  NO MARK 3.2%
1211,OTOLITH MARKS - 6 REPETITIONS PONDS 16-18                            ENGELKING
1212,OTOLITH MARKS 6 REPETITIONS                                        HME
1213,OTOLITH MARKS 6 REPETITIONS                                      ENGELKING
1214,OTOLITH MARKS 6 REPETITIONS  PONDS 19-22                             ENGELKING
1215,Otolith marks 7 repetitions. JM
1216,OTOLITH MARKS-6 REPETITIONS. SRB
1217,Otoliths were marked 8 time; FLRs 153097 and 153098 entered 4/1/2014
1218,OTOTLITH MARKS 6 REPETITIONS                                        ENGELKING
1219,PARKDALE RELEASE
1220,PDS 9-13 AD ONLY;PD14 MIX OF AD ONLY AND AD CWT; 4750 NON TAGGED ON 3/22/13  HME
1221,PELTON LADDER TO MOVING FALLS ACC SITE;ASSOC WITH 618202;C015--IN WF HOOD R; HME
1222,pendleton acc
1223,Pendleton Acc
1224,Pendleton Acc emergency release freezing
1225,pendleton acc killer whale
1226,"PENDLETON ACC, PIT TAGGED 1420 FISH; ASSOC GRP C017;090489-090493;     ENGELKING"
1227,"PENDLETON ACC, PIT TAGGED 1445 FISH; ASSOC GRP C017;090489-090493; ENGELKING"
1228,"PENDLETON ACC, PIT TAGGED 1472 FISH; ASSOC GRP C017;090489-090493; ENGELKING"
1229,"PENDLETON ACC, PIT TAGGED 1551 FISH; 100RELEASED 5/17/12 BY RESEARCH 13/LB; HME"
1230,"PENDLETON ACC, PIT TAGGED 1910 FISH; ASSOC GRP C017;090489-090493;    HME"
1231,Pendleton Acclimated.
1245,Pittsburg Landing release due to high flows at HC. Idaho Power Co.
1246,PLANTED AT PEKINS BOAT LAUNCH.
1247,PLANTED AT PEKINS FERRY BOAT LAUNCH.
1248,PLANTED BY GRANT CO. PUD.  NUMBERS MAY BE INACCURATE. EDITED 6/28/2018 J. KORDOSKY.
1249,Pond 1
1250,POND 11 WILLAMETTE
1251,POND 13 AND 14 CWT FISH                                        ENGELKING
1252,"POND 13 MIX OF CWT AND NON -CWT;14 ALL CWT; PONDS 8-12 NON CWT, PRICE/ ENGELKING"
1253,Pond 16.
1254,Pond 2
1255,Pond LC1.
1256,Pond LC2.
1257,Pond LC3.
1258,Prelim Data as Acclimated
1259,PRELIMINARY DATA NO RETENTION DATA                                     ENGELKING
1260,PRELIMINARY DATA NO RETENTION DATA; ASSOC WITH 090483 090482 C014   ENGELKING
1261,PRELIMINARY DATA NO RETENTION DATA;FLR 155820 AND 155821;                    HME
1262,PRELIMINARY DATA NO RETENTION DATA;PIT TAG 1028 FISH;ASSOC 090394 C009;ENGELKING
1263,PRELIMINARY DATA NO RETENTION DATA;PIT TAG 1028 FISH;ASSOC 090395 C009;ENGELKING
1264,preliminary data;FLR 162260; ASSOC 090755;  C005  JM        HME
1265,"Preliminary data;FLR 162260; ASSOC WITH 090754  code 14C005,      HME"
1266,"PRELIMINARY RESULTS NO RETENTION DATA;FLR 154601, 154602           ENGELKING"
