"","tag_code","run_year","recovery_date","fishery","number_cwt_estimated","related_group_id","run","brood_year","cwt_total","recovery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","recovery_location_code","hatchery_location_name","hatchery_location_code","first_release_date","release_stage","comments","avg_length","avg_weight","recovery_rmis_region","release_year"
"81","210957",2013,20130511,10,3.22,"142011nisqch",3,2010,201275,"SWTR         H023-742","CLEAR CR    11.0013C","WA","SPS","NISQ","2MS02H023^^^^^^^742","CLEAR CREEK HATCHERY","3F10513^^110013CH",20110601,"G","",NA,8.25,"WCVI",2011
"82","635973",2013,20130511,10,3.22,"04201100000621",3,2010,200099,"SWTR         H023-743","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","2MS02H023^^^^^^^743","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"WCVI",2011
"83","210958",2013,20130511,10,3.22,"",2,2010,175422,"SWTR         H023-743","STILLAGUAMISH R -NF","WA","NPS","STIL","2MS02H023^^^^^^^743","WHITEHORSE POND","3F10308^^050254AH",20110408,"G","",NA,4.54,"WCVI",2011
"84","220120",2013,20130511,10,3.22,"",8,2010,100986,"SWTR         H023-742","LYONS FERRY HATCHERY","WA","SNAK","UPSN","2MS02H023^^^^^^^742","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110522,"P","",96,10,"WCVI",2011
"85","635997",2013,20130511,10,3.22,"",3,2010,201916,"SWTR         H023-742","SNAKE R-LOWR 33.0002","WA","SNAK","GRIA","2MS02H023^^^^^^^742","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110602,"","BO=MIXED(HxW)",92,9.25,"WCVI",2011
"86","635594",2013,20130518,10,3.22,"",3,2010,90969,"SWTR         H023-739","KALAMA R     27.0002","WA","LOCR","LEWI","2MS02H023^^^^^^^739","KALAMA FALLS HATCHERY","3F42001^^270002^H",20110630,"","BO=MIXED(HxW)",77,5.62,"WCVI",2011
"87","635697",2013,20130518,10,3.22,"04201100000171",3,2010,200297,"SWTR         H023-739","SAMISH   (FRIDAY CR)","WA","NOWA","BESA","2MS02H023^^^^^^^739","SAMISH HATCHERY","3F10107^^030017^H",20110502,"","",80,5.58,"WCVI",2011
"88","635766",2013,20130518,10,3.22,"04201100000621",3,2010,204091,"SWTR         H023-739","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","2MS02H023^^^^^^^739","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110619,"","BO=MIXED(HxW)",92,9.81,"WCVI",2011
"89","635767",2013,20130518,10,3.22,"04201100000258",3,2010,221514,"SWTR         H023-739","GEORGE ADAMS (PURDY)","WA","HOOD","SKDO","2MS02H023^^^^^^^739","GEORGE ADAMS HATCHERY","3F10412^^160005^H",20110517,"","BO=MIXED(HxW)",83,6.67,"WCVI",2011
"90","220120",2013,20130511,10,3.22,"",8,2010,100986,"SWTR         H023-741","LYONS FERRY HATCHERY","WA","SNAK","UPSN","2MS02H023^^^^^^^741","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110522,"P","",96,10,"WCVI",2011
"91","635997",2013,20130511,10,3.22,"",3,2010,201916,"SWTR         H023-741","SNAKE R-LOWR 33.0002","WA","SNAK","GRIA","2MS02H023^^^^^^^741","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110602,"","BO=MIXED(HxW)",92,9.25,"WCVI",2011
"92","635764",2013,20130518,10,3.22,"04201100000621",3,2010,200099,"SWTR         H023-739","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","2MS02H023^^^^^^^739","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"WCVI",2011
"93","220117",2013,20130518,10,3.22,"",8,2010,100622,"SWTR         H023-739","LYONS FERRY HATCHERY","WA","SNAK","CLEA","2MS02H023^^^^^^^739","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110525,"P","",93,9,"WCVI",2011
"94","210973",2013,20130511,10,3.22,"",3,2010,89344,"SWTR         H023-742","GROVERS CR   15.0299","WA","MPS","EKPN","2MS02H023^^^^^^^742","GORST CR REARING PND","3F10510^^150216^H",20110524,"G","",NA,6.48,"WCVI",2011
"95","635973",2013,20130511,10,3.22,"04201100000621",3,2010,200099,"SWTR         H023-742","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","2MS02H023^^^^^^^742","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"WCVI",2011
